address,suburb,lot_area_sqm,centroid_lat,centroid_lon,is_corner_lot,n_vertices,size_flag,zone,is_heritage,is_foreshore,is_reservation,is_acid_sulfate,drop_reason,verified_clean
1 Altona Street Abbotsford,Abbotsford,1006.3,-33.848434,151.127595,True,7,normal,R3,False,False,False,False,wrong_zone:R3,False
1 Battersea Street Abbotsford,Abbotsford,505.6,-33.845726,151.127969,True,7,normal,R3,False,False,False,False,wrong_zone:R3,False
1 Bickleigh Street Abbotsford,Abbotsford,898.2,-33.855607,151.129765,True,10,normal,R2,False,False,True,True,,True
1 Campbell Street Abbotsford,Abbotsford,901.0,-33.856555,151.129086,True,21,normal,R2,False,False,True,True,,True
1 Charlton Street Abbotsford,Abbotsford,580.0,-33.851324,151.126437,True,6,normal,R2,False,False,True,True,,True
1 Curtin Avenue Abbotsford,Abbotsford,780.8,-33.853668,151.136798,True,22,normal,R2,False,False,True,True,,True
1 Fitzroy Street Abbotsford,Abbotsford,453.1,-33.846663,151.127908,True,6,normal,R3,False,False,False,False,wrong_zone:R3,False
1 Glen Ormond Avenue Abbotsford,Abbotsford,728.7,-33.85347,151.129239,True,8,normal,R2,False,False,True,True,,True
1 Hunter Street Abbotsford,Abbotsford,707.5,-33.8479,151.124892,True,8,normal,R3,False,False,False,False,wrong_zone:R3,False
1 Margaret Street Abbotsford,Abbotsford,697.0,-33.854793,151.137107,False,5,normal,R2,False,False,True,True,,True
1 Mcgirr Place Abbotsford,Abbotsford,715.9,-33.853906,151.131603,True,21,normal,R2,False,False,True,True,,True
1 Montrose Road Abbotsford,Abbotsford,685.9,-33.848568,151.130483,True,6,normal,R3,False,False,False,False,wrong_zone:R3,False
1 Raynor Avenue Abbotsford,Abbotsford,634.8,-33.852231,151.131165,True,6,normal,R2,False,False,True,True,,True
1 The Terrace Abbotsford,Abbotsford,526.1,-33.845326,151.127947,True,8,normal,R3,False,False,False,False,wrong_zone:R3,False
1 Tyler Crescent Abbotsford,Abbotsford,540.6,-33.854251,151.13552,False,5,normal,R2,False,False,True,True,,True
1 Werona Avenue Abbotsford,Abbotsford,547.8,-33.853884,151.127969,True,7,normal,R2,False,False,True,True,,True
10 Campbell Street Abbotsford,Abbotsford,588.6,-33.856096,151.12956,False,5,normal,R2,False,False,True,True,,True
10 Curtin Avenue Abbotsford,Abbotsford,1051.4,-33.853377,151.135809,True,7,normal,R2,False,False,True,True,,True
10 Henry Lawson Avenue Abbotsford,Abbotsford,578.4,-33.852397,151.128301,False,5,normal,R2,False,False,True,True,,True
10 Kokoda Street Abbotsford,Abbotsford,742.8,-33.853547,151.13341,False,5,normal,R2,False,False,True,True,,True
10 Raynor Avenue Abbotsford,Abbotsford,666.7,-33.852015,151.130321,False,5,normal,R2,False,False,True,True,,True
10 St Albans Street Abbotsford,Abbotsford,794.5,-33.855084,151.1282,True,6,normal,R2,False,False,True,True,,True
108 Hampden Road Abbotsford,Abbotsford,467.7,-33.854604,151.136862,True,8,normal,R2,False,False,True,True,,True
108A Hampden Road Abbotsford,Abbotsford,467.7,-33.854604,151.136862,True,8,normal,R2,False,False,True,True,,True
11 Bickleigh Street Abbotsford,Abbotsford,515.6,-33.855652,151.129147,True,6,normal,R2,False,False,True,True,,True
11 Checkley Street Abbotsford,Abbotsford,759.2,-33.847872,151.123998,True,6,normal,R3,False,False,False,False,wrong_zone:R3,False
11 Fitzroy Street Abbotsford,Abbotsford,659.5,-33.84704,151.127145,False,5,normal,R3,False,False,False,False,wrong_zone:R3,False
11 Kokoda Street Abbotsford,Abbotsford,902.5,-33.853128,151.133752,True,19,normal,R2,False,False,True,True,,True
