address,suburb,lot_area_sqm,centroid_lat,centroid_lon,is_corner_lot,n_vertices,size_flag
1 Altona Street Abbotsford,Abbotsford,1006.3,-33.848434,151.127595,True,7,normal
1 Battersea Street Abbotsford,Abbotsford,505.6,-33.845726,151.127969,True,7,normal
1 Bickleigh Street Abbotsford,Abbotsford,898.2,-33.855607,151.129765,True,10,normal
1 Campbell Street Abbotsford,Abbotsford,901.0,-33.856555,151.129086,True,21,normal
1 Charlton Street Abbotsford,Abbotsford,580.0,-33.851324,151.126437,True,6,normal
1 Chatham Place Abbotsford,Abbotsford,423.5,-33.84949,151.128867,True,17,small
1 Curtin Avenue Abbotsford,Abbotsford,780.8,-33.853668,151.136798,True,22,normal
1 Fitzroy Street Abbotsford,Abbotsford,453.1,-33.846663,151.127908,True,6,normal
1 Glen Ormond Avenue Abbotsford,Abbotsford,728.7,-33.85347,151.129239,True,8,normal
1 Gow Street Abbotsford,Abbotsford,3726.3,-33.850599,151.127665,True,15,large
1 Hunter Street Abbotsford,Abbotsford,707.5,-33.8479,151.124892,True,8,normal
1 Margaret Street Abbotsford,Abbotsford,697.0,-33.854793,151.137107,False,5,normal
1 Mcgirr Place Abbotsford,Abbotsford,715.9,-33.853906,151.131603,True,21,normal
1 Montrose Road Abbotsford,Abbotsford,685.9,-33.848568,151.130483,True,6,normal
1 Raynor Avenue Abbotsford,Abbotsford,634.8,-33.852231,151.131165,True,6,normal
1 The Terrace Abbotsford,Abbotsford,526.1,-33.845326,151.127947,True,8,normal
1 Tyler Crescent Abbotsford,Abbotsford,540.6,-33.854251,151.13552,False,5,normal
1 Weddle Avenue Abbotsford,Abbotsford,366.3,-33.852861,151.136185,False,5,small
1 Werona Avenue Abbotsford,Abbotsford,547.8,-33.853884,151.127969,True,7,normal
10 Campbell Street Abbotsford,Abbotsford,588.6,-33.856096,151.12956,False,5,normal
10 Chatham Place Abbotsford,Abbotsford,351.3,-33.849989,151.128621,True,10,small
10 Curtin Avenue Abbotsford,Abbotsford,1051.4,-33.853377,151.135809,True,7,normal
10 Figtree Avenue Abbotsford,Abbotsford,260.7,-33.84963,151.131078,True,23,small
10 Henry Lawson Avenue Abbotsford,Abbotsford,578.4,-33.852397,151.128301,False,5,normal
10 Kokoda Street Abbotsford,Abbotsford,742.8,-33.853547,151.13341,False,5,normal
10 Raynor Avenue Abbotsford,Abbotsford,666.7,-33.852015,151.130321,False,5,normal
10 St Albans Street Abbotsford,Abbotsford,794.5,-33.855084,151.1282,True,6,normal
108 Hampden Road Abbotsford,Abbotsford,467.7,-33.854604,151.136862,True,8,normal
108A Hampden Road Abbotsford,Abbotsford,467.7,-33.854604,151.136862,True,8,normal
11 Bickleigh Street Abbotsford,Abbotsford,515.6,-33.855652,151.129147,True,6,normal
11 Chatham Place Abbotsford,Abbotsford,341.2,-33.849968,151.128974,True,12,small
11 Checkley Street Abbotsford,Abbotsford,759.2,-33.847872,151.123998,True,6,normal
11 Fitzroy Street Abbotsford,Abbotsford,659.5,-33.84704,151.127145,False,5,normal
11 Kokoda Street Abbotsford,Abbotsford,902.5,-33.853128,151.133752,True,19,normal
11 Margaret Street Abbotsford,Abbotsford,698.6,-33.854227,151.13722,False,5,normal
11 Marmion Road Abbotsford,Abbotsford,1009.2,-33.846532,151.12946,False,5,normal
11 The Terrace Abbotsford,Abbotsford,334.2,-33.845627,151.127386,False,5,small
114 Hampden Road Abbotsford,Abbotsford,567.0,-33.854633,151.136552,False,5,normal
11A Campbell Street Abbotsford,Abbotsford,1170.7,-33.856057,151.128251,True,11,normal
11A Tyler Crescent Abbotsford,Abbotsford,572.8,-33.85327,151.134464,True,13,normal
11B Campbell Street Abbotsford,Abbotsford,996.4,-33.855935,151.128798,True,8,normal
12 Abbotsford Parade Abbotsford,Abbotsford,1018.1,-33.849017,151.127074,False,5,normal
12 Campbell Street Abbotsford,Abbotsford,647.3,-33.856018,151.129576,True,6,normal
12 Curtin Avenue Abbotsford,Abbotsford,973.4,-33.853585,151.135565,True,23,normal
12 Glen Ormond Avenue Abbotsford,Abbotsford,564.0,-33.853129,151.1284,True,6,normal
12 Irene Street Abbotsford,Abbotsford,564.2,-33.856795,151.129459,False,5,normal
12 Kokoda Street Abbotsford,Abbotsford,727.4,-33.853522,151.133572,False,5,normal
12 Raynor Avenue Abbotsford,Abbotsford,623.8,-33.852049,151.130184,False,5,normal
12 Spring Street Abbotsford,Abbotsford,665.7,-33.84744,151.126894,False,5,normal
120 Hampden Road Abbotsford,Abbotsford,453.5,-33.854573,151.136114,True,7,normal
128 Hampden Road Abbotsford,Abbotsford,764.4,-33.854493,151.135376,True,6,normal
13 Bickleigh Street Abbotsford,Abbotsford,522.5,-33.855749,151.12893,True,6,normal
13 Chatham Place Abbotsford,Abbotsford,341.2,-33.849981,151.129049,True,9,small
13 Henry Lawson Avenue Abbotsford,Abbotsford,526.9,-33.852918,151.128235,True,6,normal
13 Margaret Street Abbotsford,Abbotsford,869.1,-33.854104,151.137244,False,5,normal
13 Raynor Avenue Abbotsford,Abbotsford,584.9,-33.852459,151.130341,False,5,normal
13 Spring Street Abbotsford,Abbotsford,334.7,-33.848951,151.124225,True,6,small
14 Abbotsford Parade Abbotsford,Abbotsford,1018.2,-33.849012,151.126931,True,6,normal
14 Blackwall Point Road Abbotsford,Abbotsford,701.0,-33.851619,151.130333,False,5,normal
14 Campbell Street Abbotsford,Abbotsford,646.1,-33.855934,151.129565,True,7,normal
